PARAMETER,unit.types,max.unit,second.unit,third.unit,fourth.unit
1-Methylnaphthalene,1,ug/L,NA,NA,NA
1-Methylphenanthrene,1,mg/L,NA,NA,NA
"1,1-Dichloroethane",1,ug/L,NA,NA,NA
"1,1-Dichloroethylene",1,ug/L,NA,NA,NA
"1,1-Dichloropropene",1,ug/L,NA,NA,NA
"1,1,1-Trichloroethane",1,ug/L,NA,NA,NA
"1,1,1,2-Tetrachloroethane",1,ug/L,NA,NA,NA
"1,1,2-Trichloro-1,2,2-Trifluoroethane",1,ug/L,NA,NA,NA
"1,1,2-Trichloroethane",1,ug/L,NA,NA,NA
"1,1,2,2-Tetrachloroethane",1,ug/L,NA,NA,NA
"1,2-Dibromo-3-Chloropropane",1,ug/L,NA,NA,NA
"1,2-Dibromoethane",1,ug/L,NA,NA,NA
"1,2-Dichlorobenzene",1,ug/L,NA,NA,NA
"1,2-Dichloroethane",1,ug/L,NA,NA,NA
"1,2-Dichloroethylenes, Sum",1,ug/L,NA,NA,NA
"1,2-Dichloropropane",1,ug/L,NA,NA,NA
"1,2-Diphenylhydrazine",1,ug/L,NA,NA,NA
"1,2,3-Trichlorobenzene",1,ug/L,NA,NA,NA
"1,2,3-Trichloropropane",1,ug/L,NA,NA,NA
"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",1,pg/L,NA,NA,NA
"1,2,3,4,6,7,8-Heptachlorodibenzofuran",1,pg/L,NA,NA,NA
"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin",1,pg/L,NA,NA,NA
"1,2,3,4,6,7,8,9-Octachlorodibenzofuran",1,pg/L,NA,NA,NA
"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",1,pg/L,NA,NA,NA
"1,2,3,4,7,8-Hexachlorodibenzofuran",1,pg/L,NA,NA,NA
"1,2,3,4,7,8,9-Heptachlorodibenzofuran",1,pg/L,NA,NA,NA
"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",1,pg/L,NA,NA,NA
"1,2,3,6,7,8-Hexachlorodibenzofuran",1,pg/L,NA,NA,NA
"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",1,pg/L,NA,NA,NA
"1,2,3,7,8-Pentachlorodibenzofuran",1,pg/L,NA,NA,NA
"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",1,pg/L,NA,NA,NA
"1,2,3,7,8,9-Hexachlorodibenzofuran",1,pg/L,NA,NA,NA
"1,2,4-Trichlorobenzene",1,ug/L,NA,NA,NA
"1,2,4-Trimethylbenzene",1,ug/L,NA,NA,NA
"1,3-Dichlorobenzene",1,ug/L,NA,NA,NA
"1,3-Dichloropropane",1,ug/L,NA,NA,NA
"1,3-Dichloropropylenes, Sum",1,ug/L,NA,NA,NA
"1,3,5-Trimethylbenzene",1,ug/L,NA,NA,NA
"1,4-Dichlorobenzene",1,ug/L,NA,NA,NA
"1,4-Dichlorobenzene-d4",1,ug/L,NA,NA,NA
2-Chloroethylvinyl Ether,1,ug/L,NA,NA,NA
2-Chloronaphthalene,1,ug/L,NA,NA,NA
2-Chlorophenol,1,ug/L,NA,NA,NA
2-Chlorophenol-d4,1,ug/L,NA,NA,NA
2-Chlorotoluene,1,ug/L,NA,NA,NA
2-Fluorobiphenyl,1,ug/L,NA,NA,NA
2-Hexanone,1,ug/L,NA,NA,NA
"2-Methyl-4,6-Dinitrophenol",1,ug/L,NA,NA,NA
2-Methylnaphthalene,1,ug/L,NA,NA,NA
2-Methylphenol,1,ug/L,NA,NA,NA
2-Nitroaniline,1,ug/L,NA,NA,NA
2-Nitrophenol,1,ug/L,NA,NA,NA
2-propanone (Acetone),1,ug/L,NA,NA,NA
"2,2-Dichloro-1,1,1-trifluoroethane",1,ug/L,NA,NA,NA
"2,2-Dichloropropane",1,ug/L,NA,NA,NA
"2,3,4,5-Tetrachlorophenol",1,ug/L,NA,NA,NA
"2,3,4,6-Tetrachlorophenol",1,ug/L,NA,NA,NA
"2,3,4,6,7,8-Hexachlorodibenzofuran",1,pg/L,NA,NA,NA
"2,3,4,7,8-Pentachlorodibenzofuran",1,pg/L,NA,NA,NA
"2,3,7,8-TCDD (Dioxin)",1,pg/L,NA,NA,NA
"2,3,7,8-Tetrachlorodibenzofuran",1,pg/L,NA,NA,NA
"2,4-D",1,ug/L,NA,NA,NA
"2,4-DDD",2,ug/L,pg/L,NA,NA
"2,4-DDE",2,ug/L,pg/L,NA,NA
"2,4-DDT",2,ug/L,pg/L,NA,NA
"2,4-Dichlorophenol",1,ug/L,NA,NA,NA
"2,4-Dimethylphenol",1,ug/L,NA,NA,NA
"2,4-Dinitrophenol",1,ug/L,NA,NA,NA
"2,4-Dinitrotoluene",1,ug/L,NA,NA,NA
"2,4,5-Trichlorophenol",1,ug/L,NA,NA,NA
"2,4,6-Trichlorophenol",1,ug/L,NA,NA,NA
"2,6-Dichlorophenol",1,ug/L,NA,NA,NA
"2,6-Dimethylnaphthalene",1,ug/L,NA,NA,NA
"2,6-Dinitrotoluene",1,ug/L,NA,NA,NA
3-Methyl-4-Chlorophenol,1,ug/L,NA,NA,NA
3-Methylphenol/4-Methylphenol Coelution,1,ug/L,NA,NA,NA
3-Nitroaniline,1,ug/L,NA,NA,NA
"3,3-Dichlorobenzidine",1,ug/L,NA,NA,NA
4-Bromophenyl Phenyl Ether,1,ug/L,NA,NA,NA
4-Chloro-3-methylphenol,2,mg/L,ug/L,NA,NA
4-Chloroaniline,1,ug/L,NA,NA,NA
